[-2|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 10, 8, 11], [9, 14, 10, 15], [11, 16, 12, 1], [13, 8, 14, 9], [15, 12, 16, 13]]|K3a1,mK5a2]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [9, 16, 10, 17], [11, 9, 12, 8], [13, 1, 14, 18], [15, 10, 16, 11], [17, 15, 18, 14]]|K3a1,K6a1]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [9, 17, 10, 16], [11, 8, 12, 9], [13, 18, 14, 1], [15, 11, 16, 10], [17, 14, 18, 15]]|K3a1,mK6a1]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 14, 8, 15], [9, 17, 10, 16], [11, 1, 12, 18], [13, 8, 14, 9], [15, 13, 16, 12], [17, 11, 18, 10]]|K3a1,K6a2]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 15, 8, 14], [9, 16, 10, 17], [11, 18, 12, 1], [13, 9, 14, 8], [15, 12, 16, 13], [17, 10, 18, 11]]|K3a1,mK6a2]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [10, 8, 11, 7], [14, 10, 15, 9], [18, 15, 1, 16], [16, 11, 17, 12], [12, 17, 13, 18], [8, 14, 9, 13]]|K3a1,K6a3]
[10|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 15, 8, 14], [9, 17, 10, 16], [11, 19, 12, 18], [13, 1, 14, 20], [15, 9, 16, 8], [17, 11, 18, 10], [19, 13, 20, 12]]|K3a1,K7a1]
[-4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 14, 8, 15], [9, 16, 10, 17], [11, 18, 12, 19], [13, 20, 14, 1], [15, 8, 16, 9], [17, 10, 18, 11], [19, 12, 20, 13]]|K3a1,mK7a1]
[10|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 16, 9, 15], [10, 20, 11, 19], [12, 18, 13, 17], [14, 8, 15, 7], [16, 14, 17, 13], [18, 12, 19, 11], [20, 10, 1, 9]]|K3a1,K7a2]
[-4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 15, 9, 16], [10, 19, 11, 20], [12, 17, 13, 18], [14, 7, 15, 8], [16, 13, 17, 14], [18, 11, 19, 12], [20, 9, 1, 10]]|K3a1,mK7a2]
